redshift,norm(psf_u),norm(psf_g),norm(psf_r),norm(psf_i),norm(psf_z),norm(model_u),norm(model_g),norm(model_r),norm(model_i),norm(model_z)
0.3574462,0.467768053859,0.572711675144,0.59321040351,0.56343387471,0.630258425565,0.457588002431,0.470628004402,0.490175538293,0.427182560522,0.522136475782
3.890477,0.514266962597,0.613866651485,0.646077221668,0.63246553842,0.738156986441,0.499124727504,0.509549287043,0.543076881521,0.489667376408,0.623910426449
4.278192,0.716866922243,0.597657104188,0.571131195519,0.509372185069,0.580643724279,0.488634363714,0.344989324282,0.331053615713,0.251078668827,0.333339676837
2.88946,0.697911562348,0.618815237686,0.647327314241,0.625639415859,0.720137905972,0.660330327371,0.514864466435,0.544214719433,0.485257220212,0.608251998357
2.192846,0.37825724804,0.490840360382,0.519316042541,0.483854920158,0.571107291469,0.390065305184,0.406530494107,0.435943650066,0.374854789481,0.479865411308
1.201632,0.529604492465,0.62763457709,0.641370651936,0.619366043401,0.731449776664,0.509589865612,0.520448023777,0.53831279424,0.47911514677,0.617357177542
2.414146,0.604134747354,0.670984036944,0.700477691544,0.686056366862,0.763358878836,0.574355337168,0.557177463164,0.588964444622,0.530713019456,0.644048391523
1.977932,0.440483924492,0.555223090728,0.584936621331,0.551381192848,0.648022847267,0.440144736749,0.461541493823,0.491805970163,0.427433463081,0.545973726843
1.438687,0.485169114153,0.584809800646,0.600007501836,0.563770301624,0.663714848751,0.476436279928,0.48671988146,0.505781023148,0.438073216868,0.560556010173
1.036511,0.625152159501,0.715306522507,0.701982539286,0.688365633957,0.753629479241,0.588309832384,0.594666676747,0.591196815483,0.532760023637,0.639135449976
1.394226,0.516491613951,0.638251167437,0.650406139267,0.626203084482,0.707266519338,0.502005148386,0.530408247681,0.547913504615,0.483434596121,0.597914746989
1.8052,0.518182644615,0.625478264132,0.667124607218,0.624936536099,0.730807749632,0.500779062919,0.519200633307,0.56106684592,0.484675317235,0.618670896761
1.154295,0.418425139004,0.536232268483,0.545605111694,0.516401665074,0.627642972426,0.421230755151,0.444707662433,0.459158899606,0.400826121874,0.529715530678
1.779184,0.510167247958,0.610860234949,0.637942978752,0.593651562713,0.698760199173,0.496430272695,0.508104798079,0.537210141611,0.460601932745,0.590356564268
1.480559,0.472908402752,0.556240756579,0.575796159508,0.547004230927,0.651445317625,0.467137976267,0.461451314512,0.483492499824,0.423696447156,0.549284422053
1.739085,0.390144720592,0.502402157219,0.527665355147,0.483382011737,0.575796599524,0.400623133006,0.417142493031,0.443286006602,0.374384811324,0.485180449157
0.278163,0.50603944802,0.591246391589,0.587795255959,0.547475774533,0.617696216194,0.48667614683,0.484378999344,0.485356237184,0.41292673327,0.509692362564
